output_type,parameter_type,region,origin,destination,coefficient,std_error,z_value,wald_statistic,p_value,multiplicative_factor,flow,predicted_flow,residual,distance_value
parameter,destination,Bekasi,NA,NA,0.3343178366943619,1.8439700128154043e-4,1813.0329363866379,3287088.4284227546,0,1.3969870867777756,NA,NA,NA,NA
parameter,destination,Bogor,NA,NA,0.7974881702589388,1.2029056503159687e-4,6629.681804632488,43952680.83067508,0,2.2199577635137357,NA,NA,NA,NA
parameter,destination,Jakarta Barat,NA,NA,0.013866877092311325,1.4915661958067909e-4,92.96856640553392,8643.15433950017,0,1.0139634681883358,NA,NA,NA,NA
parameter,destination,Jakarta Pusat,NA,NA,-0.3136306092512761,1.646829152538029e-4,-1904.4514044940292,3626935.1520792805,0,0.7307889249758184,NA,NA,NA,NA
parameter,destination,Jakarta Selatan,NA,NA,0.08013292724218109,1.4069024958390255e-4,569.5698705431091,324409.8374304941,0,1.0834310756084318,NA,NA,NA,NA
parameter,destination,Jakarta Timur,NA,NA,0.4128410337738924,1.2871444394402755e-4,3207.4180730906896,10287530.695588792,0,1.5111047922139045,NA,NA,NA,NA
parameter,destination,Jakarta Utara,NA,NA,0.027473815746396305,1.5034853803022125e-4,182.73417291808883,33391.777952057986,0,1.0278547011467307,NA,NA,NA,NA
parameter,destination,Kota Bekasi,NA,NA,-0.034701181954234876,1.54609771192572e-4,-224.44365376502182,50374.95371539299,0,0.965893999695855,NA,NA,NA,NA
parameter,destination,Kota Bogor,NA,NA,-0.3462428873505348,1.963349213245091e-4,-1763.5318516681639,3110044.591848143,0,0.7073406621409382,NA,NA,NA,NA
parameter,destination,Kota Depok,NA,NA,-0.11538980824183265,1.5620257547709223e-4,-738.7189864789077,545705.7409844246,0,0.8910187497503974,NA,NA,NA,NA
parameter,destination,Kota Tangerang,NA,NA,-0.03029569556822001,1.6429897009242328e-4,-184.3937034491314,34001.03787168622,0,0.9701586195267319,NA,NA,NA,NA
parameter,destination,Kota Tangerang Selatan,NA,NA,-0.716316085656374,2.0658295460291765e-4,-3467.4500954506975,12023210.164441051,0,0.48854871654928084,NA,NA,NA,NA
parameter,destination,Tangerang,NA,NA,-0.1095443927856094,2.1322927626129964e-4,-513.7399268352312,263928.7124246688,0,0.8962423767832882,NA,NA,NA,NA
parameter,model_fit,Pseudo_R2_McFadden,NA,NA,0.8435752385407426,NA,NA,NA,NA,NA,NA,NA,NA,NA
parameter,model_fit,Deviance_Explained,NA,NA,0.8435847644119931,NA,NA,NA,NA,NA,NA,NA,NA,NA
parameter,model_fit,AIC,NA,NA,35931190.48168738,NA,NA,NA,NA,NA,NA,NA,NA,NA
parameter,model_fit,BIC,NA,NA,35931269.777943574,NA,NA,NA,NA,NA,NA,NA,NA,NA
parameter,model_fit,LogLikelihood,NA,NA,-17965569.24084369,NA,NA,NA,NA,NA,NA,NA,NA,NA
prediction,NA,NA,Bekasi,Kota Bekasi,NA,NA,NA,NA,NA,NA,5919203,5428022.741119627,491180.2588803731,29.732
prediction,NA,NA,Bekasi,Jakarta Timur,NA,NA,NA,NA,NA,NA,4482449,6998470.9720717715,-2516021.9720717715,37.062
prediction,NA,NA,Bekasi,Jakarta Selatan,NA,NA,NA,NA,NA,NA,2729966,3623566.7735701213,-893600.7735701213,49.398
