output_type,parameter_type,region,origin,destination,coefficient,std_error,z_value,wald_statistic,p_value,multiplicative_factor,flow,predicted_flow,residual,distance_value
prediction,NA,NA,Bogor,Jakarta Pusat,NA,NA,NA,NA,NA,NA,4091646,4382002.382953932,-290356.3829539316,39.862
prediction,NA,NA,Bogor,Kota Bekasi,NA,NA,NA,NA,NA,NA,7031064,5734976.006645153,1296087.9933548467,39.212
prediction,NA,NA,Bogor,Jakarta Barat,NA,NA,NA,NA,NA,NA,5325169,5812206.355737904,-487037.3557379041,41.2
prediction,NA,NA,Bogor,Tangerang,NA,NA,NA,NA,NA,NA,2984055,3392376.698284272,-408321.6982842721,56.396
prediction,NA,NA,Bogor,Bekasi,NA,NA,NA,NA,NA,NA,8258483,6114916.769872023,2143566.230127977,51.254
prediction,NA,NA,Jakarta Barat,Jakarta Pusat,NA,NA,NA,NA,NA,NA,4182942,3847295.6629864387,335646.3370135613,11.803
prediction,NA,NA,Jakarta Barat,Kota Tangerang,NA,NA,NA,NA,NA,NA,5547729,4739023.866654832,808705.1333451681,15.946
prediction,NA,NA,Jakarta Barat,Jakarta Selatan,NA,NA,NA,NA,NA,NA,4651180,5367455.740818305,-716275.7408183049,13.876
prediction,NA,NA,Jakarta Barat,Jakarta Utara,NA,NA,NA,NA,NA,NA,5489023,3974282.6674170494,1514740.3325829506,23.216
prediction,NA,NA,Jakarta Barat,Kota Tangerang Selatan,NA,NA,NA,NA,NA,NA,2421506,2074675.771930763,346830.22806923697,21.699
prediction,NA,NA,Jakarta Barat,Tangerang,NA,NA,NA,NA,NA,NA,2414478,2569932.4099320737,-155454.40993207367,36.404
prediction,NA,NA,Jakarta Barat,Jakarta Timur,NA,NA,NA,NA,NA,NA,4465472,4888353.871962501,-422881.87196250074,29.699
prediction,NA,NA,Jakarta Barat,Kota Depok,NA,NA,NA,NA,NA,NA,2376478,2892037.914210398,-515559.9142103982,31.619
prediction,NA,NA,Jakarta Barat,Kota Bekasi,NA,NA,NA,NA,NA,NA,2727698,2890153.7602934455,-162455.76029344555,34.349
prediction,NA,NA,Jakarta Barat,Bekasi,NA,NA,NA,NA,NA,NA,1750823,1910534.7668812044,-159711.76688120444,62.556
prediction,NA,NA,Jakarta Barat,Bogor,NA,NA,NA,NA,NA,NA,4842359,5306802.707517613,-464443.7075176127,42.269
prediction,NA,NA,Jakarta Barat,Kota Bogor,NA,NA,NA,NA,NA,NA,856868,1266006.861521519,-409138.861521519,54.217
prediction,NA,NA,Jakarta Pusat,Jakarta Barat,NA,NA,NA,NA,NA,NA,3183045,2982292.027111458,200752.97288854187,11.283
prediction,NA,NA,Jakarta Pusat,Jakarta Utara,NA,NA,NA,NA,NA,NA,3659815,2892771.473315981,767043.5266840188,12.786
prediction,NA,NA,Jakarta Pusat,Jakarta Selatan,NA,NA,NA,NA,NA,NA,3363549,3158528.3254521927,205020.6745478073,10.681
prediction,NA,NA,Jakarta Pusat,Kota Tangerang,NA,NA,NA,NA,NA,NA,1664531,2228401.4111055383,-563870.4111055383,22.165
prediction,NA,NA,Jakarta Pusat,Jakarta Timur,NA,NA,NA,NA,NA,NA,4623701,3496386.314528374,1127314.685471626,20.296
prediction,NA,NA,Jakarta Pusat,Kota Bekasi,NA,NA,NA,NA,NA,NA,1646511,2052632.0527836387,-406121.0527836387,24.946
prediction,NA,NA,Jakarta Pusat,Kota Depok,NA,NA,NA,NA,NA,NA,1645465,1702890.541790372,-57425.54179037199,29.143
prediction,NA,NA,Jakarta Pusat,Kota Tangerang Selatan,NA,NA,NA,NA,NA,NA,917137,984940.1008892147,-67803.10088921466,27.346
prediction,NA,NA,Jakarta Pusat,Tangerang,NA,NA,NA,NA,NA,NA,914475,1150174.141571501,-235699.14157150104,44.436
prediction,NA,NA,Jakarta Pusat,Bogor,NA,NA,NA,NA,NA,NA,2831279,3181819.7251145225,-350540.7251145225,39.45
prediction,NA,NA,Jakarta Pusat,Bekasi,NA,NA,NA,NA,NA,NA,973485,1332706.2379369796,-359221.2379369796,54.155
prediction,NA,NA,Jakarta Pusat,Kota Bogor,NA,NA,NA,NA,NA,NA,450718,710168.6496131892,-259450.64961318916,53.488
prediction,NA,NA,Jakarta Selatan,Jakarta Pusat,NA,NA,NA,NA,NA,NA,4159429,4234531.115990621,-75102.11599062104,11.104
prediction,NA,NA,Jakarta Selatan,Jakarta Barat,NA,NA,NA,NA,NA,NA,4376833,5436374.319719775,-1059541.3197197746,14.745
prediction,NA,NA,Jakarta Selatan,Jakarta Utara,NA,NA,NA,NA,NA,NA,3293944,4622558.216658444,-1328614.2166584441,21.19
prediction,NA,NA,Jakarta Selatan,Kota Bekasi,NA,NA,NA,NA,NA,NA,3057910,4191102.592745935,-1133192.592745935,24.224
prediction,NA,NA,Jakarta Selatan,Kota Depok,NA,NA,NA,NA,NA,NA,5923870,4323626.221771091,1600243.7782289088,20.26
prediction,NA,NA,Jakarta Selatan,Kota Tangerang Selatan,NA,NA,NA,NA,NA,NA,1744855,2495226.441729437,-750371.4417294371,18.539
prediction,NA,NA,Jakarta Selatan,Jakarta Timur,NA,NA,NA,NA,NA,NA,6720306,6696606.2209912995,23699.779008700512,21.901
prediction,NA,NA,Jakarta Selatan,Bekasi,NA,NA,NA,NA,NA,NA,1992313,2935480.8695699996,-943167.8695699996,50.517
prediction,NA,NA,Jakarta Selatan,Bogor,NA,NA,NA,NA,NA,NA,8941180,7945126.858836383,996053.1411636174,31.126
prediction,NA,NA,Jakarta Selatan,Kota Tangerang,NA,NA,NA,NA,NA,NA,2774312,3862233.927339559,-1087921.927339559,27.568
